product_id;sku;ean;name;Apple Pencil;Bohater;Częstotliwość próbkowania;DPI;Długość;Długość [mm];Funkcjonalność;GPSR;GPSR Source;Grubość [mm];Inne;Instrukcja;Kabel w zestawie;Kolor bazowy;Kolor dodatkowy;Kompatybilność;Kąt świecenia;Liczba przycisków;Liczba ładowanych urządzeń;MagSafe;Materiał dodatkowy;Materiał główny;Mikrofon;Moc;Mocowanie/trzonek;Możliwość ściemniania;Napięcie;Ochrona ekranu w zestawie;Oznaczenie;Podświetlenie;Pojemność;Pojemność (mAh);Pojemność (ml);Pojemność pamięci;Prędkość odczytu (maks.);Prędkość zapisu (maks.);Rodzaj;Rodzaj etui;Rodzaj szkla;Rodzaj szkła;Sensor;Skuteczność świetlna [lm/w];Strumień [lm];Szerokość [mm];Temp. światła;Typ słuchawek;WWW;WWW1;Waga;Wbudowana pamięć;Wiek dziecka;Wymiary;Wysokość [mm];Wzór;Zużycie energii;Zwierzak;Złącze;Żywotność
212547496;INPH190380-CLR;650450150468;Etui iPhone Xs;;;;;;147;ochrona tyłu i boków;Onward Brands LLC C/O Vanneste, Stationsstraat 82, B8552 Moen, Belgium, contact@onwardbrands.com;;;;;;przezroczysty;;Apple iPhone Xs/X;;;;;;Polikarbon;;;;;;;;;;;;;;;;Plecki;;;;;;74;;;"<a href=""http://www.youtube.com/watch?v=naOSnQI3PVE"" target=""_blank"">www.youtube.com/watch?v=naOSnQI3PVE</a>";;;;;;9;;;;;
212547497;INPH190380-RGD;650450150475;Etui iPhone Xs Różowe;;;;;;147;ochrona tyłu i boków;Onward Brands LLC C/O Vanneste, Stationsstraat 82, B8552 Moen, Belgium, contact@onwardbrands.com;;;;;;złoty;różowy;Apple iPhone Xs/X;;;;;;Polikarbon;;;;;;;;;;;;;;;;Plecki;;;;;;74;;;"<a href=""http://www.youtube.com/watch?v=naOSnQI3PVE"" target=""_blank"">www.youtube.com/watch?v=naOSnQI3PVE</a>";;;;;;9;;;;;
212547498;HWP20LCLEARTR;8033830266645;Etui Huawei P20 Lite przezroczyste;;;;;;;ochrona tyłu i boków;FORCETOP Sp. z o.o., Chotów 24B, 63-460 Chotów PL, office@forcetop.com, +48 625940000;;;;;;przezroczysty;;Huawei P20 Lite;;;;;Silikon;Polikarbon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Gładki;;;;
212547499;5216180;5050993314276;Kubek termiczny stalowy z izolacją próżniową 600ml zielone;;;;;;;;FORCETOP Sp. z o.o., Chotów 24B, 63-460 Chotów PL, office@forcetop.com, +48 625940000;;;;;;zielony;srebrny;;;;;;;Stal nierdzewna;;;;;;;;;600 ml;;600;;;;;;;;;;;;;;;;;;;7,62 x H 19,68 cm;;Gładki;;;;
212547500;DLST-IPHX-PUBK;888488284385;Etui iPhone X fioletowe;;;;;;;ochrona tyłu i boków;FORCETOP Sp. z o.o., Chotów 24B, 63-460 Chotów PL, office@forcetop.com, +48 625940000;;;;;;fioletowy;czarny;Apple iPhone X;;;;;Silikon;Polikarbon;;;;;;;;;;;;;;;;Plecki;;;;;;;;;;;;;;;;Inny;;;;
212547501;DLST-IPHX-PKBK;888488284392;Etui iPhone X różowe;;;;;;;ochrona tyłu i boków;FORCETOP Sp. z o.o., Chotów 24B, 63-460 Chotów PL, office@forcetop.com, +48 625940000;;;;;;różowy;czarny;Apple iPhone X;;;;;Silikon;Polikarbon;;;;;;;;;;;;;;;;Plecki;;;;;;;;;;;;;;;;Inny;;;;
212547502;DLST-IPHX-GDBK;888488284408;Etui iPhone X złote;;;;;;;ochrona tyłu i boków;FORCETOP Sp. z o.o., Chotów 24B, 63-460 Chotów PL, office@forcetop.com, +48 625940000;;;;;;złoty;czarny;Apple iPhone X;;;;;Silikon;Polikarbon;;;;;;;;;;;;;;;;Plecki;;;;;;;;;;;;;;;;Inny;;;;
212547503;HBTFM-IPHX-PKBK;888488284460;Etui iPhone X pancerne różowe;;;;;;;ochrona tyłu i boków;FORCETOP Sp. z o.o., Chotów 24B, 63-460 Chotów PL, office@forcetop.com, +48 625940000;;;;;;różowy;czarny;Apple iPhone X;;;;;TPU;Polikarbon;;;;;;;;;;;;;;;;Pancerne;;;;;;;;;;;;;;;;Inny;;;;
212547504;NEB-IPH8-TNBR;888488290751;Etui iPhone X kremowe;;;;;;;ochrona całego urządzenia;FORCETOP Sp. z o.o., Chotów 24B, 63-460 Chotów PL, office@forcetop.com, +48 625940000;;;;;;piaskowy;brązowy;Apple iPhone X;;;;;Polikarbon;Skóra naturalna;;;;;;Tak;;;;;;;;;;Plecki;;;;;;;;;;;;;;;;Inny;;;;
212547505;RET-IPH8-PHSL;888488290645;Etui iPhone Xs;;;;;;;ochrona tyłu i boków;FORCETOP Sp. z o.o., Chotów 24B, 63-460 Chotów PL, office@forcetop.com, +48 625940000;;;;;;beżowy;srebrny;Apple iPhone Xs/X;;;;;;Polikarbon;;;;;;Tak;;;;;;;;;;Plecki;;;;;;;;;"<a href=""http://www.youtube.com/watch?v=89iNY0DcNKc&feature=youtu.be"" target=""_blank"">www.youtube.com/watch?v=89iNY0DcNKc&feature=youtu.be</a>";;;;;;;Inny;;;;
212547507;ZBM.3G;3858890731859;Moduł do rozbudowy zipabox z wave 3G;;;;;;;;;;;;;;biały;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;85 x 39 x 47 mm;;;;;;
212547508;61089;7394090610892;Etui iPhone X przezroczyste;;;;;;;ochrona tyłu i boków;;;;;;;przezroczysty;;Apple iPhone X;;;;;TPU;Polikarbon;;;;;;;;;;;;;;;;Plecki;;;;;;;;;;;;;;;;Gładki;;;;
212547509;99MO065031;4712052314504;Rękawiczki dotykowe rozmiar l Szary;;;;;;;;FORCETOP Sp. z o.o., Chotów 24B, 63-460 Chotów PL, office@forcetop.com, +48 625940000;;;;;;szary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24 x 15 x 1.4 cm;;;;;;
212547511;GIP-011-CLR;191058080158;Etui iPhone XS przezroczyste;;;;;;161;ochrona tyłu i boków;FORCETOP Sp. z o.o., Chotów 24B, 63-460 Chotów PL, office@forcetop.com, +48 625940000;;;;;;przezroczysty;;Apple iPhone Xs Max;;;;;TPU;Polikarbon;;;;;;;;;;;;;;;;Plecki;;;;;;81;;;;;;;;;9;Gładki;;;;
212547512;473125;6950941473125;Etui iPhone XS Kremowe;;;;;;161;ochrona tyłu i boków;FORCETOP Sp. z o.o., Chotów 24B, 63-460 Chotów PL, office@forcetop.com, +48 625940000;;;;;;beżowy;przezroczysty;Apple iPhone Xs Max;;;;;;TPU (termoplastyczny poliuretan);;;;;;;;;;;;;;;;Plecki;;;;;;81;;;;;;;;;9;Inny;;;;
212547513;LAUT_IP18-L_SH_P;4895206907996;Etui iPhone XS Różowe;;;;;;161;ochrona tyłu i boków;;;;;;;różowy;;Apple iPhone Xs Max;;;;;Polikarbon;TPU (termoplastyczny poliuretan);;;;;;;;;;;;;;;;Plecki;;;;;;81;;;;;;;;;9;Inny;;;;
212547514;INPH220553-BLK;650450153940;Etui iPhone XS Czarne;;;;;;161;ochrona tyłu i boków;Onward Brands LLC C/O Vanneste, Stationsstraat 82, B8552 Moen, Belgium, contact@onwardbrands.com;;;;;;czarny;;Apple iPhone Xs Max;;;;;;;;;;;;;;;;;;;;;;Plecki;;;;;;81;;;;;;;;;9;;;;;
212547515;E20310;5706662204811;Etui iPhone XS szare;;;;;;161;ochrona tyłu i boków;FORCETOP Sp. z o.o., Chotów 24B, 63-460 Chotów PL, office@forcetop.com, +48 625940000;;;;;;szary;;Apple iPhone Xs Max;;;;;Tkanina;Polikarbon;;;;;;;;;;;;;;;;Plecki;;;;;;81;;;;;;;;;9;;;;;
212547517;E20289;5706662204606;Etui iPhone Xr Szare;;;;;;;ochrona tyłu i boków;FORCETOP Sp. z o.o., Chotów 24B, 63-460 Chotów PL, office@forcetop.com, +48 625940000;;;;;;szary;;Apple iPhone XR;;;;;drewno;Polikarbon;;;;;;;;;;;;;;;;Plecki;;;;;;;;;;;;;;;;;;;;
212547518;E20293;5706662204644;Etui iPhone Xr niebieskie;;;;;;;ochrona tyłu i boków;FORCETOP Sp. z o.o., Chotów 24B, 63-460 Chotów PL, office@forcetop.com, +48 625940000;;;;;;niebieski;czarny;Apple iPhone XR;;;;;Tkanina;Polikarbon;;;;;;;;;;;;;;;;Plecki;;;;;;;;;;;;;;;;;;;;
212547519;E20295;5706662204668;Etui iPhone Xr brązowe;;;;;;;ochrona tyłu i boków;FORCETOP Sp. z o.o., Chotów 24B, 63-460 Chotów PL, office@forcetop.com, +48 625940000;;;;;;brązowy;czarny;Apple iPhone XR;;;;;Tkanina;Polikarbon;;;;;;;;;;;;;;;;Plecki;;;;;;;;;;;;;;;;;;;;
212547520;E20313;5706662204842;Etui  iPhone XS niebieskie;;;;;;161;ochrona tyłu i boków;FORCETOP Sp. z o.o., Chotów 24B, 63-460 Chotów PL, office@forcetop.com, +48 625940000;;;;;;niebieski;czarny;Apple iPhone Xs Max;;;;;Tkanina;Polikarbon;;;;;;;;;;;;;;;;Plecki;;;;;;81;;;;;;;;;9;;;;;
212547522;E20316;5706662204873;Etui iPhone XS czerwone;;;;;;161;ochrona tyłu i boków;FORCETOP Sp. z o.o., Chotów 24B, 63-460 Chotów PL, office@forcetop.com, +48 625940000;;;;;;czerwony;czarny;Apple iPhone Xs Max;;;;;Tkanina;Polikarbon;;;;;;;;;;;;;;;;Plecki;;;;;;81;;;;;;;;;9;;;;;
212547524;NEB-IPH8-LBBR;888488290775;Etui iPhone X skórzane  z klapką;;;;;;;ochrona całego urządzenia;FORCETOP Sp. z o.o., Chotów 24B, 63-460 Chotów PL, office@forcetop.com, +48 625940000;;;;;;brązowy;;Apple iPhone X;;;;;Polikarbon;Skóra naturalna;;;;;;Tak;;;;;;;;;;Plecki;;;;;;;;;;;;;;;;Inny;;;;
212547525;TPU-IPH8-PU;888488284521;Etui iPhone X Fioletowy;;;;;;;ochrona tyłu i boków;FORCETOP Sp. z o.o., Chotów 24B, 63-460 Chotów PL, office@forcetop.com, +48 625940000;;;;;;fioletowy;;Apple iPhone X;;;;;;TPU (termoplastyczny poliuretan);;;;;;;;;;;;;;;;Plecki;;;;;;;;;;;;;;;;Inny;;;;
212547526;FCDST-01B-EU;3830058391105;Ładowarka bezprzewodowa biurkowa  z uchwytem magnetycznym aluminiowe;;;;;;;;;;;;;;czarny;;Samsung Galaxy S8;;;1;;;Aluminium;;;;;;;;;;;;;;;;;;;;;;;;;"<a href=""http://www.youtube.com/watch?v=aMPwqQE_MU8"" target=""_blank"">www.youtube.com/watch?v=aMPwqQE_MU8</a>";"<a href=""http://www.vimeo.com/166877149"" target=""_blank"">www.vimeo.com/166877149</a>";;;;;;;;;;
212547527;BFM1314-Z;8020252076884;Pokrowiec na laptopa 15 cali;;;;;;;ochrona całego urządzenia;Tucano Srl Piazza Castello, 19 - 20121 Milano  -  Italy , tucanosrlmi@legalmail.it, +39.02.252010.1  ;;;;;;błękitny;;"Apple MacBook Pro 13"" Retina M1";;;;;;Neopren;;;;;;;;;;;;;;;;;;;;;;;;;"<a href=""http://www.youtube.com/watch?v=RuTnw-otBbM"" target=""_blank"">www.youtube.com/watch?v=RuTnw-otBbM</a>";;;;;34 x 24,5 x 3 cm;;Gładki;;;;
212547528;BFM1516-B;8020252076914;Pokrowiec na laptopa Niebieski 16 cali;;;;;;;ochrona całego urządzenia;Tucano Srl Piazza Castello, 19 - 20121 Milano  -  Italy , tucanosrlmi@legalmail.it, +39.02.252010.1  ;;;;;;niebieski;;Apple MacBook Pro 16” (2021);;;;;;Neopren;;;;;;;;;;;;;;;;;;;;;;;;;"<a href=""http://www.youtube.com/watch?v=RuTnw-otBbM"" target=""_blank"">www.youtube.com/watch?v=RuTnw-otBbM</a>";;;;;38,5 x 26,5 x 3,5 cm;;Gładki;;;;
212547529;BFM1516-RR;8020252077065;Pokrowiec na laptopa czerwone 16 cali;;;;;;;ochrona całego urządzenia;Tucano Srl Piazza Castello, 19 - 20121 Milano  -  Italy , tucanosrlmi@legalmail.it, +39.02.252010.1  ;;;;;;malinowy;;Apple MacBook Pro 16” (2021);;;;;;Neopren;;;;;;;;;;;;;;;;;;;;;;;;;"<a href=""http://www.youtube.com/watch?v=RuTnw-otBbM"" target=""_blank"">www.youtube.com/watch?v=RuTnw-otBbM</a>";;;;;38,5 x 26,5 x 3,5 cm;;Gładki;;;;
212547530;STPAD-01A;3830058390184;Adapter do smartfonów magnetyczny;;;;;;;;;;;;;;czarny;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<a href=""http://www.youtube.com/watch?v=aMPwqQE_MU8"" target=""_blank"">www.youtube.com/watch?v=aMPwqQE_MU8</a>";;;;;;;;;;;
212547531;GUCB154GG;3700740396612;Pokrowiec na laptopa Szary 16 cali;;;;;;;ochrona całego urządzenia;CG Mobile France SAS, 39 Rue de Courcelles, 75008 Paris FR, customer@cg-mobile.com;;;;;;szary;;"Notebook 15""-16""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Inny;;;;
212547533;7639;8809550376397;Etui samsung Galaxy S9 Plus złote;;;;;;161;ochrona tyłu i boków;FORCETOP Sp. z o.o., Chotów 24B, 63-460 Chotów PL, office@forcetop.com, +48 625940000;;;;;;złoty;przezroczysty;Samsung Galaxy S9+;;;;;TPU;Polikarbon;;;;;;;;;;;;;;;;;;;;;;76;;;;;;;;;10;Gładki;;;;
212547535;5159052;844983039868;Otwieracz do butelek z korkociągiem czarny;;;;;;;;FORCETOP Sp. z o.o., Chotów 24B, 63-460 Chotów PL, office@forcetop.com, +48 625940000;;;;;;czarny;srebrny;;;;;;Stop Cynku;ABS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22,4 x 9,9 x 5 cm;;;;;;
212547537;INPH220548-CLR;650450153759;Etui iPhone XS przezroczyste;;;;;;161;ochrona tyłu i boków;Onward Brands LLC C/O Vanneste, Stationsstraat 82, B8552 Moen, Belgium, contact@onwardbrands.com;;;;;;przezroczysty;;Apple iPhone Xs Max;;;;;;;;;;;;;;;;;;;;;;Plecki;;;;;;81;;;;;;;;;9;;;;;
212547538;INPH200550-CLR;650450153834;Etui iPhone Xr przezroczyste;;;;;;;ochrona tyłu i boków;Onward Brands LLC C/O Vanneste, Stationsstraat 82, B8552 Moen, Belgium, contact@onwardbrands.com;;;;;;przezroczysty;;Apple iPhone XR;;;;;;;;;;;;;;;;;;;;;;Plecki;;;;;;;;;;;;;;;;;;;;
212547540;SGJ6P03NUDETR;8033830269646;Etui samsung galaxy J6 przezroczyste;;;;;;;ochrona tyłu i boków;FORCETOP Sp. z o.o., Chotów 24B, 63-460 Chotów PL, office@forcetop.com, +48 625940000;;;;;;przezroczysty;;Samsung Galaxy J6+;;;;;;TPU (termoplastyczny poliuretan);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Gładki;;;;
212547542;IPCX65LEO1BLK;8033830271458;Etui iPhone XS;;;;;;161;ochrona tyłu i boków;FORCETOP Sp. z o.o., Chotów 24B, 63-460 Chotów PL, office@forcetop.com, +48 625940000;;;;;;czarny;brązowy;Apple iPhone Xs Max;;;;;;TPU (termoplastyczny poliuretan);;;;;;;;;;;;;;;;Plecki;;;;;;81;;;;;;;;;9;Gładki;;;;
212547543;IPCX65LEO2PNK;8033830271489;Etui iPhone XS;;;;;;161;ochrona tyłu i boków;FORCETOP Sp. z o.o., Chotów 24B, 63-460 Chotów PL, office@forcetop.com, +48 625940000;;;;;;czarny;różowy;Apple iPhone Xs Max;;;;;;TPU (termoplastyczny poliuretan);;;;;;;;;;;;;;;;Plecki;;;;;;81;;;;;;;;;9;Gładki;;;;
212547545;IPCXCLEO2PNK;8033830271571;Etui iPhone Xs;;;;;;147;ochrona tyłu i boków;FORCETOP Sp. z o.o., Chotów 24B, 63-460 Chotów PL, office@forcetop.com, +48 625940000;;;;;;czarny;różowy;Apple iPhone Xs/X;;;;;;TPU (termoplastyczny poliuretan);;;;;;;;;;;;;;;;Plecki;;;;;;74;;;;;;;;;9;Gładki;;;;
212547547;BDA1314-BK;8020252091412;Pokrowiec MacBook Air 13 12.9;;;;;;;ochrona całego urządzenia;Tucano Srl Piazza Castello, 19 - 20121 Milano  -  Italy , tucanosrlmi@legalmail.it, +39.02.252010.1;;;;;;czarny;;"Apple MacBook Pro 13"" Retina M1";;;;;;Poliester;;;;;;;;;;;;;;;;;;;;;;;;;"<a href=""http://www.youtube.com/watch?v=5yUvBACZskQ&feature=youtu.be"" target=""_blank"">www.youtube.com/watch?v=5yUvBACZskQ&feature=youtu.be</a>";;;;;Zewnętrzne: 36,5 x 26 x 6;;Gładki;;;;
212547548;PC-565CB;4712176188784;Etui iPhone XS czarne;;;;;;161;ochrona tyłu i boków;;;;;;;czarny;przezroczysty;Apple iPhone Xs Max;;;;;Polikarbon;TPU (termoplastyczny poliuretan);;;;;;;;;;;;;;;;Plecki;;;;;;81;;;;;;;;;9;Gładki;;;;
212547550;SDGIPADPRO12;8033830272479;Szkło hartowane iPad Pro 12;;;;;;;ochrona ekranu;FORCETOP Sp. z o.o., Chotów 24B, 63-460 Chotów PL, office@forcetop.com, +48 625940000;;;;;;przezroczysty;;"Apple iPad Pro 12.9"" (2022)";;;;;;Szkło;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
212547552;PUSHBOOM;5060491777152;Boombox Diy Pusheen;;Pusheen;;;;;;Grupo Erik Editores, Calle Santo Domingo 31 ES18600 Motril (Granada), info@grupoerik.com, 0034 958 61 06 81;"{
        ""Name"" : ""Grupo Erik Editores"",            
        ""Address"" : ""Calle Santo Domingo 31"",
        ""ZipCode"" : ""18600"",
        ""City"" : ""Motril (Granada)"",
        ""Country"" : ""ES"",
        ""Email"" : ""info@grupoerik.com"",
        ""Phone"" : ""+34 958610681""
    }";;;;;błękitny;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
212547553;GC30004;685387329793;Przekaźnik audio wideo Android beacon;;;;;;;;FORCETOP Sp. z o.o., Chotów 24B, 63-460 Chotów PL, office@forcetop.com, +48 625940000;;;;;;czarny;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<a href=""http://www.youtube.com/watch?v=7v8KBwvDWyo&index=4&list=PLM7hGInU299MkVwenb33yuaPhZU57OVmF"" target=""_blank"">www.youtube.com/watch?v=7v8KBwvDWyo&index=4&list=PLM7hGInU299MkVwenb33yuaPhZU57OVmF</a>";;;;;;;;;;;
212547555;EF-GG960FREGWW;8801643098780;Etui Galaxy S9 czerwone;;;;;;150;ochrona tyłu i boków;;;;;;;czerwony;;Samsung Galaxy S9;;;;;;;;;;;;;;;;;;;;;;;;;;;;71;;;;;;;;;10;Inny;;;;
212547557;SGS9PHARDSHBLK;8033830258527;Etui samsung Galaxy S9 czarne;;;;;;161;ochrona tyłu i boków;FORCETOP Sp. z o.o., Chotów 24B, 63-460 Chotów PL, office@forcetop.com, +48 625940000;;;;;;czarny;przezroczysty;Samsung Galaxy S9+;;;;;TPU;Polikarbon;;;;;;;;;;;;;;;;;;;;;;76;;;;;;;;;10;Gładki;;;;
212547558;99MO105033;4713057254123;Etui samsung Galaxy S9 szare;;;;;;150;ochrona tyłu i boków;FORCETOP Sp. z o.o., Chotów 24B, 63-460 Chotów PL, office@forcetop.com, +48 625940000;;;;;;grafitowy;szary;Samsung Galaxy S9;;;;;;Tworzywo sztuczne;;;;;;;;;;;;;;;;;;;;;;71;;;;;;;;;10;Gładki;;;;
212547560;FESURHCS9REB;3700740426296;Etui samsung Galaxy S9 czerwone;;;;;;150;ochrona tyłu i boków;CG Mobile France SAS, 39 Rue de Courcelles, 75008 Paris FR, customer@cg-mobile.com;;;;;;czerwony;czarny;Samsung Galaxy S9;;;;;;Skóra eco;;;;;;;;;;;;;;;;;;;;;;71;;;;;;;;;10;Inny;;;;
